rank,animal,crowd_score,normalized,rescaled,category
181,Dakotaraptor steini,21.535492,210.7341,2683.5991,dinosaur
182,Elasmotherium sibiricum,269.536258,2637.5285,2637.5285,non-mesozoic
183,Asiatic Lioness (pride of 3),262.374912,2567.4517,2567.4517,non-mesozoic
184,Alioramus remotus,20.263024,198.2824,2525.0332,dinosaur
185,Prestosuchus chiniquensis,70.562014,690.4797,2464.0095,mesozoic-other
186,Deinonychus antirrhopus (pack of 3/4),19.689276,192.6681,2453.5369,dinosaur
187,Common Bottlenose Dolphin (pod of 6/7),247.554170,2422.4243,2422.4243,non-mesozoic
188,Megalosaurus bucklandii,19.270188,188.5671,2401.3131,dinosaur
189,Smilodon populator (pride of 3),244.442519,2391.9755,2391.9755,non-mesozoic
190,Barinasuchus arveloi,223.178091,2183.8939,2183.8939,non-mesozoic
191,African Bush Elephant (cow),220.960587,2162.1946,2162.1946,non-mesozoic
192,Eurasian Cave Lion (Coalition of 3),216.230234,2115.9061,2115.9061,non-mesozoic
193,Woolly Rhinoceros,211.028171,2065.0017,2065.0017,non-mesozoic
194,Crocodylus thorbjarnarsoni,208.348334,2038.7783,2038.7783,non-mesozoic
195,Woolly Mammoth,208.112028,2036.4659,2036.4659,non-mesozoic
196,Smilodon fatalis (coalition of 3/4),205.239011,2008.3522,2008.3522,non-mesozoic
197,African Lion (Coalition of 3/4),198.833667,1945.6732,1945.6732,non-mesozoic
198,Eurasian Cave Lion (Coalition of 2),184.638680,1806.7691,1806.7691,non-mesozoic
199,Megatherium americanum,182.258170,1783.4748,1783.4748,non-mesozoic
200,Brygmophyseter shigensis,178.770994,1749.3513,1749.3513,non-mesozoic
201,Achillobator giganticus,14.034806,137.3366,1748.9172,dinosaur
202,Sumatran Elephant,178.195002,1743.7149,1743.7149,non-mesozoic
203,Arsinoitherium zitteli,175.983390,1722.0734,1722.0734,non-mesozoic
204,Neovenator salerii,13.790716,134.9481,1718.5005,dinosaur
205,Dilophosaurus wetherilli,13.774523,134.7896,1716.4826,dinosaur
206,Deuterosaurus spp.,13.543648,132.5304,1687.7126,dinosaur
207,Homotherium crenatidens,168.202446,1645.9335,1645.9335,non-mesozoic
208,Smok wawelski,47.047238,460.3775,1642.8788,mesozoic-other
209,American Lion (Coalition of 2/3),166.659037,1630.8305,1630.8305,non-mesozoic
210,Spotted Hyenas (clan of 15),160.556994,1571.1194,1571.1194,non-mesozoic
211,Tropical Bottlenose Whale (pod of 2),159.644227,1562.1876,1562.1876,non-mesozoic
212,Asian Elephant,159.643740,1562.1828,1562.1828,non-mesozoic
213,Smilodon fatalis (coalition of 5),156.288852,1529.3538,1529.3538,non-mesozoic
214,Megacamelus merriami,155.099610,1517.7166,1517.7166,non-mesozoic
215,African Forest Elephant,151.916472,1486.5682,1486.5682,non-mesozoic
216,Marshosaurus bicentesimus,11.395906,111.5139,1420.0764,dinosaur
217,Velociraptor mongoliensis (pack of 12),10.843575,106.1091,1351.2488,dinosaur
218,Monolophosaurus jiangi,10.599571,103.7214,1320.8428,dinosaur
219,African Bush Elephant,134.775086,1318.8323,1318.8323,non-mesozoic
220,Doedicurus clavicaudatus,134.481667,1315.9611,1315.9611,non-mesozoic
221,Europasaurus holgeri,10.478044,102.5322,1305.6990,dinosaur
222,Orkoraptor burkei,10.473429,102.4870,1305.1239,dinosaur
223,Indian (Greater One-horned) Rhinoceros,132.973113,1301.1993,1301.1993,non-mesozoic
224,Smilodon fatalis (coalition of 2),132.217499,1293.8052,1293.8052,non-mesozoic
225,Aucasaurus garridoi,10.062848,98.4693,1253.9602,dinosaur
226,Parahelicoprion spp.,124.257648,1215.9147,1215.9147,non-mesozoic
227,Dire Wolf (pack of 10- 12),124.093607,1214.3095,1214.3095,non-mesozoic
228,White Rhinoceros,123.855923,1211.9836,1211.9836,non-mesozoic
229,Rhabdodon spp.,9.710336,95.0198,1210.0327,dinosaur
230,Lioness (pride of 4),117.771828,1152.4481,1152.4481,non-mesozoic
231,Astrapotherium magnum,117.646701,1151.2237,1151.2237,non-mesozoic
232,Dunkleosteus terrelli,115.902009,1134.1511,1134.1511,non-mesozoic
233,Smilodon fatalis (coalition of 4),115.751953,1132.6828,1132.6828,non-mesozoic
234,Great White Shark,115.640274,1131.5899,1131.5899,non-mesozoic
235,Stegodon trigonocephalus,112.339963,1099.2950,1099.2950,non-mesozoic
236,Leptosuchus spp.,31.315390,306.4346,1093.5263,mesozoic-other
237,Orca Cow (Ross Sea - Type C),110.382963,1080.1449,1080.1449,non-mesozoic
238,Gojirasaurus quayi,8.650955,84.6533,1078.0202,dinosaur
239,American Lion (Coalition of 2),109.128469,1067.8691,1067.8691,non-mesozoic
240,Wapiti Lake Grey Wolf Pack,108.086527,1057.6733,1057.6733,non-mesozoic
241,African (Cape) Buffaloes (2),100.265081,981.1371,981.1371,non-mesozoic
242,Platybelodon spp.,100.241913,980.9103,980.9103,non-mesozoic
243,Hippopotamus (cow),99.943480,977.9900,977.9900,non-mesozoic
244,Lion (Coalition of 3),96.850106,947.7201,947.7201,non-mesozoic
245,Archelon ischyros,26.943345,263.6522,940.8555,mesozoic-other
246,False Killer Whale,95.632107,935.8014,935.8014,non-mesozoic
247,Pachycephalosaurus wyomingensis,7.497395,73.3652,934.2718,dinosaur
248,Northwestern Wolf (Pack of 8),95.067533,930.2768,930.2768,non-mesozoic
249,Moros intrepidus (pack of 2),7.436795,72.7722,926.7202,dinosaur
250,Lioness (pride of 6),94.227452,922.0562,922.0562,non-mesozoic
251,Smilodon populator (pride of 2),93.780057,917.6783,917.6783,non-mesozoic
252,Savuti Pride,92.435294,904.5192,904.5192,non-mesozoic
253,Zygophyseter varolai,91.649923,896.8340,896.8340,non-mesozoic
254,Megacerops coloradensis,91.105221,891.5039,891.5039,non-mesozoic
255,Long-finned Pilot Whale,90.484787,885.4327,885.4327,non-mesozoic
256,Gallimimus bullatus,6.985130,68.3525,870.4370,dinosaur
257,Archaic Humans (group of 3 - 5) armed with spear,85.834729,839.9298,839.9298,non-mesozoic
258,Lion (Coalition of 3/4),84.918826,830.9673,830.9673,non-mesozoic
259,Hippopotamus gorgops,83.433551,816.4333,816.4333,non-mesozoic
260,American Lion (Coalition of 4),83.393456,816.0409,816.0409,non-mesozoic
261,Postosuchus kirkpatricki,23.086910,225.9154,806.1896,mesozoic-other
262,Epicyon haydeni (pack of 5),81.459183,797.1132,797.1132,non-mesozoic
263,Helicoprion clerci,80.982920,792.4528,792.4528,non-mesozoic
264,Lisowicia bojani,77.032130,753.7926,753.7926,non-mesozoic
