rank,animal,power,category
449,Bluntnose Sixgill Shark,13.310034,non-mesozoic
450,Shortfin Mako,13.266898,non-mesozoic
451,European Scimitar,13.170427,non-mesozoic
452,Megantereon whitei,13.138349,non-mesozoic
453,Interior Grizzly Bear,12.911745,non-mesozoic
454,East Siberian Brown Bear,12.895350,non-mesozoic
455,Epicyon haydeni (pack of 2),12.865854,non-mesozoic
456,Basking Shark,12.835587,non-mesozoic
457,Proborhyaena gigantea,12.828688,non-mesozoic
458,Chianina,12.816479,non-mesozoic
459,Ischigualastia jenseni,12.708691,non-mesozoic
460,Northwestern Wolf (pack of 2),12.670243,non-mesozoic
461,Iberian (Spanish) Fighting Bull,12.545652,non-mesozoic
462,Atlantic Blue Marlin,12.395303,non-mesozoic
463,Southern Elephant Seal (cow),12.225213,non-mesozoic
464,Giant (Short-faced) Hyena (clan of 4),12.221624,non-mesozoic
465,Dire Wolf (pack of 2),12.115205,non-mesozoic
466,Cyldesdale (Draught Horse),11.948158,non-mesozoic
467,Bully Kuttas (3),11.924277,non-mesozoic
468,Grey Wolf (Pack of 4/5),11.847013,non-mesozoic
469,Pelorovis spp.,11.728233,non-mesozoic
470,Banteng,11.721731,non-mesozoic
471,Alaskan Moose,11.672152,non-mesozoic
472,Collared Peccary (Javelina) (pack of 4),11.648740,non-mesozoic
473,Elasmosaurus platyurus,11.582678,mesozoic-other
474,Rauisuchus tiradentes,11.561276,mesozoic-other
475,Marshosaurus bicentesimus,11.395906,dinosaur
476,Amphimachairodus kabir,11.336584,non-mesozoic
477,Gryposuchus croizati,11.313209,non-mesozoic
478,Kodiak Bear (sow),11.299637,non-mesozoic
479,Cinnamon Black Bear,11.145055,non-mesozoic
480,Eremotherium spp.,11.096971,non-mesozoic
481,Dogo Argentino (pack of 3/4),11.076999,non-mesozoic
482,Caucasian Shepherd Dogs (2),11.066795,non-mesozoic
483,Clymene (Short-snouted Spinner) Dolphin,11.020243,non-mesozoic
484,Cheetah (coalition of 4),10.989633,non-mesozoic
485,Northwestern Wolf (pack of 6),10.965401,non-mesozoic
486,Xiphactinus audax,10.943030,non-mesozoic
487,Brown Bear,10.941205,non-mesozoic
488,Eurasian Cave Lion,10.929229,non-mesozoic
489,Grey Wolf (Pack of 6),10.912813,non-mesozoic
490,Common Chimpanzee (troop of 15),10.843575,non-mesozoic
491,Velociraptor mongoliensis (pack of 12),10.843575,dinosaur
492,European Bison (Wisent),10.809572,non-mesozoic
493,Josephoartigasia monesi,10.786954,non-mesozoic
494,Natodomeri Lion,10.719581,non-mesozoic
495,Eastern Gorilla (troop of 3 - 4),10.647511,non-mesozoic
496,Swordfish,10.646464,non-mesozoic
