Eurasian Cave Lion,Siberian Tiger,0.62,21
European Jaguar,Lion,0.5,26
Indochinese Leopard,Snow Leopard,0.71,14
Jaguaress,Sri Lankan Leopard,0.68,37
Leopard,Jaguaress,0.41,90
Leopard,Mexican Jaguar,0.4,73
Leopard,Snow Leopard (mating pair),0.26,23
Leopardess,Snow Leopard,0.39,33
Lion,Lioness (pride of 2),0.27,45
Lion,Tiger,0.38,238
Longdan Tiger,Pantanal Jaguar,0.59,17
Mexican Jaguaress,Snow Leopard,0.5,22
Pantanal Jaguar,Sumatran Tiger,0.42,66
Patagonian Panther,Trinil Tiger,0.3762376238,8
Persian Leopard,Sumatran Tigress,0.16,25
Pleistocene North American Jaguar,West African Lion,0.64,11
Natodomeri Lion,Wanhsien Tiger,0.38,13
Sri Lankan Leopard,Sumatran Tigress,0.21,38
African Lion,American Scimitar,0.44,9
African Lion,European Scimitar,0.6237623762,8
American Lion,Smilodon fatalis,0.75,36
American Lion,Smilodon populator,0.14,44
American Lion,Xenosmilus hodsonae,0.46,24
Asiatic Lion,European Scimitar,0.21,19
Asiatic Lioness,Smilodon gracilis,0.32,19
Bali Tiger,Smilodon gracilis,0.17,12
Bengal Tiger,Smilodon fatalis,0.18,39
Eurasian Cave Lion,Smilodon fatalis,0.15,20
Eurasian Cave Lion,Xenosmilus hodsonae,0.33,6
European Jaguar,American Scimitar,0.44,9
Indochinese Tiger,American Scimitar,0.47,15
Indochinese Tiger,European Scimitar,0.43,7
Jaguar,Dinofelis piveteaui,0.75,4
Jaguar,Smilodon gracilis,0.48,48
Leopard (male),Smilodon gracilis,0.34,29
Lioness (pride of 2),Smilodon fatalis,0.6,15
Lioness (pride of 2),Xenosmilus hodsonae,0.6,5
Lion (Coalition of 2),Smilodon populator,0.5,38
Ngandong Tiger,Smilodon fatalis,0.61,18
Ngandong Tiger,Smilodon populator,0.08,63
Pantanal Jaguar,Megantereon cultridens,0.22,9
Patagonian Panther,Smilodon fatalis,0.22,9
Siberian Tiger,Smilodon fatalis (female),0.35,23
Sumatran Tiger,Megantereon cultridens,0.27,11
Wanhsien Tiger,Smilodon fatalis,0.5,6
Wanhsien Tiger,Xenosmilus hodsonae,0.25,12
African Leopardess,Northwestern Wolf,0.45,49
African Lion,Epicyon haydeni (pack of 3),0.3,30
American Lion,Epicyon haydeni (pack of 2),0.71,7
Amur Leopard,Dire Wolf,0.51,45
Arabian Leopardess,African Wild Dog,1,8
Arabian Leopard,European Dhole,0.8,15
Arabian Leopard,Steppe Wolf,0.58,24
Bali Tiger,Epicyon haydeni,0.39,23
Bali Tigress,Dire Wolf,0.83,23
Bali Tigress,Grey Wolves (pack of 3),0.2,15
Barbary Lion,Dire Wolf (pack of 5),0.3762376238,8
Bengal Tiger,African Wild Dog (pack of 8 - 10),0.82,22
Bengal Tiger,Dholes (Large Pack),0.17,30
Cape Leopard,Dhole (pack of 2),0.72,25
Clouded Leopard,African Wild Dog,0.68,38
Clouded Leopard,Dhole,0.74,27
